词语	词性	权重	词频
诱惑	v	5.14	4
特长	n	5.14	4
装饰	n	5.14	4
纪录片	n	5.14	4
创下	v	5.14	4
反思	vn	5.14	4
补助	vn	5.14	4
评审	vn	5.14	4
输入	v	5.14	4
鸡蛋	n	5.14	4
老将	n	5.14	4
版本	n	5.14	4
营运	vn	5.14	4
名额	n	5.14	4
副教授	n	5.14	4
对阵	vn	5.14	4
国家标准	n	5.14	4
工序	n	5.14	4
灵感	n	5.14	4
矿业	n	5.14	4
车窗	n	5.14	4
出战	v	5.14	4
纵向	n	5.14	4
保管	v	5.14	4
手表	n	5.14	4
公益性	n	5.14	4
中资	n	5.14	4
转载	v	5.14	4
百货	n	5.14	8
到场	vi	5.14	4
监管部门	n	5.14	4
拿走	v	5.14	4
隐私	n	5.14	4
斟酌	v	5.14	4
海鸥	n	5.14	4
小项	n	5.14	4
电线杆	n	5.14	8
峰会	n	5.14	4
圣诞老人	n	5.14	4
个子	n	5.14	4
长假	n	5.14	4
高三	n	5.14	4
世博园	n	5.14	4
快门	n	5.14	4
华语	nz	5.14	4
轮式	n	5.14	4
逃生	vi	5.14	4
鱼片	n	5.14	4
狙击手	n	5.14	4
开庭	vi	5.14	9
当地	s	5.13	27
杂志	n	5.12	8
人大	n	5.12	11
进程	n	5.11	5
举措	n	5.11	5
整理	vn	5.11	5
阶层	n	5.11	5
配送	vn	5.11	5
额度	n	5.11	5
区政府	n	5.11	10
防盗	vn	5.11	5
乙烯	n	5.11	5
交手	vi	5.11	5
互动	vn	5.11	5
长三角	nz	5.11	5
回暖	vi	5.11	5
感光度	n	5.11	5
第二	m	5.11	30
nBR	n	5.11	8
200	m	5.10	9
关爱	vn	5.10	5
巨大	a	5.10	14
交易日	n	5.09	12
接口	n	5.08	7
组	n	5.08	22
bBC	n	5.08	6
示范	vn	5.07	6
壮大	v	5.07	6
垄断	vn	5.07	6
旁听	v	5.07	6
错	v	5.07	38
日本	nsf	5.06	38
1000万	m	5.04	6
档	ng	5.04	51
楼	n	5.04	26
漫游	vn	5.04	8
提倡	v	5.03	6
岗位	n	5.03	5
治理	vn	5.03	5
出发	vi	5.03	5
依据	n	5.03	5
促使	v	5.03	5
过来	vf	5.03	5
充实	v	5.03	5
出生	vi	5.03	5
想象	v	5.03	5
沟通	vn	5.03	5
开发区	n	5.03	5
剩下	v	5.03	5
印发	v	5.03	5
外语	n	5.03	5
演绎	v	5.03	5
浓缩铀	n	5.03	5
中间商	n	5.03	5
2000	m	5.02	7
泡沫	n	5.02	11
委员	n	5.02	7
市值	n	5.02	7
尹某	nr	5.01	13
窗口	s	5.01	86
算	v	5.00	23
认购	v	5.00	6
即将	d	5.00	12
停	vi	5.00	23
不要	d	4.99	14
权益	n	4.99	7
90	m	4.99	34
大幅	d	4.97	16
嫌疑人	n	4.97	9
基层	n	4.96	3
讲话	n	4.96	3
政协	n	4.96	6
探索	v	4.96	3
依靠	v	4.96	3
访华	vi	4.96	3
把握	v	4.96	3
舆论	n	4.96	3
首相	n	4.96	3
劳动力	n	4.96	3
罚款	n	4.96	3
援助	v	4.96	3
培育	v	4.96	3
登记	vn	4.96	3
转化	vn	4.96	3
学科	n	4.96	3
共识	n	4.96	3
优先	vd	4.96	6
当局	n	4.96	3
家长	n	4.96	3
与会	vi	4.96	3
重组	v	4.96	3
战斗	vi	4.96	3
传销	vn	4.96	3
分歧	n	4.96	3
预测	vn	4.96	3
新建	v	4.96	3
感动	v	4.96	3
探讨	vn	4.96	3
纠正	v	4.96	3
带头	vd	4.96	3
赔偿	vn	4.96	3
照顾	vn	4.96	3
赛事	n	4.96	3
潮流	n	4.96	3
历史性	n	4.96	3
经济学	n	4.96	3
时机	n	4.96	3
发起	v	4.96	3
返回	v	4.96	3
调节	vn	4.96	3
旅游业	n	4.96	3
功夫	n	4.96	3
喜爱	vn	4.96	3
结论	n	4.96	3
期待	v	4.96	3
确认	v	4.96	3
调解	vn	4.96	3
全方位	n	4.96	3
缩小	v	4.96	3
组长	n	4.96	3
所属	n	4.96	3
法治	n	4.96	3
民众	n	4.96	3
超越	v	4.96	3
保存	v	4.96	3
掀起	v	4.96	3
视野	n	4.96	3
风波	n	4.96	3
政府部门	n	4.96	3
消失	vi	4.96	6
倾斜	vi	4.96	3
大海	n	4.96	6
水泥	n	4.96	3
盈利	n	4.96	3
献给	v	4.96	3
采购	v	4.96	3
有待	v	4.96	3
冷空气	n	4.96	3
节奏	n	4.96	3
消费品	n	4.96	3
理性	n	4.96	3
展望	v	4.96	3
否认	v	4.96	3
难免	v	4.96	3
应付	v	4.96	3
污水	n	4.96	6
取胜	vi	4.96	3
综合性	n	4.96	3
日期	n	4.96	3
机动车	n	4.96	3
怀着	v	4.96	3
设有	v	4.96	3
招收	v	4.96	3
老年人	n	4.96	3
自信	v	4.96	3
干事	n	4.96	3
派遣	v	4.96	3
吸引力	n	4.96	3
亚军	n	4.96	3
抵御	v	4.96	3
组委会	n	4.96	3
布置	vn	4.96	3
遍布	v	4.96	3
负有	v	4.96	3
认同	v	4.96	3
姓名	n	4.96	3
瞄准	v	4.96	3
揭露	vn	4.96	3
消耗	v	4.96	3
礼物	n	4.96	3
信息化	vn	4.96	3
得分	n	4.96	3
蓝色	n	4.96	3
入选	v	4.96	3
寿命	n	4.96	3
反馈	vn	4.96	3
奔赴	v	4.96	3
小朋友	n	4.96	3
飞行员	n	4.96	3
促销	vn	4.96	3
合力	n	4.96	6
卡车	n	4.96	3
冶金	n	4.96	3
兼顾	v	4.96	3
电池	n	4.96	3
现年	n	4.96	3
型号	n	4.96	3
租金	n	4.96	3
告知	v	4.96	3
出境	vn	4.96	3
清算	vn	4.96	3
谢谢	v	4.96	3
出自	v	4.96	3
外观	n	4.96	3
问及	v	4.96	3
橡胶	n	4.96	3
歧视	vn	4.96	3
通讯员	n	4.96	3
商厦	n	4.96	6
意图	n	4.96	3
成功率	n	4.96	3
指令	n	4.96	3
海面	n	4.96	3
创意	n	4.96	3
小镇	n	4.96	3
动迁	v	4.96	3
致电	v	4.96	3
重量	n	4.96	3
援引	v	4.96	3
异地	n	4.96	3
暂停	v	4.96	3
伤者	n	4.96	3
淹没	v	4.96	3
开盘	vi	4.96	3
路过	v	4.96	3
无缘	vi	4.96	3
隶属	v	4.96	3
跟不上	v	4.96	3
电路	n	4.96	3
联合会	n	4.96	3
办公厅	n	4.96	3
截止	vi	4.96	3
股民	n	4.96	3
宝马	nz	4.96	3
穿着	n	4.96	3
点评	v	4.96	3
提炼	v	4.96	3
仪表	n	4.96	3
抽签	vn	4.96	3
憧憬	v	4.96	3
报送	v	4.96	6
忍受	v	4.96	3
推介	vn	4.96	3
关停	v	4.96	3
以军	n	4.96	3
估算	vn	4.96	3
见证	n	4.96	3
募捐	vn	4.96	3
选中	v	4.96	3
导航	vi	4.96	3
涨价	vi	4.96	3
电源	n	4.96	3
开具	v	4.96	3
出局	vi	4.96	3
执委会	n	4.96	3
供养	vn	4.96	3
面试	vi	4.96	3
性情	n	4.96	3
兜售	v	4.96	3
流程	n	4.96	3
天赋	n	4.96	3
压抑	v	4.96	3
探访	v	4.96	3
压缩机	n	4.96	3
例行	vn	4.96	3
递减	vi	4.96	3
证照	n	4.96	3
装扮	v	4.96	3
时段	n	4.96	3
实时	n	4.96	3
社科院	n	4.96	3
放缓	v	4.96	3
巴士	n	4.96	3
店堂	n	4.96	3
散打	n	4.96	3
斥资	v	4.96	3
劫持	v	4.96	3
方阵	n	4.96	6
延迟	v	4.96	3
竞价	vn	4.96	3
产业链	n	4.96	3
女神	n	4.96	3
无期徒刑	nl	4.96	6
公映	v	4.96	3
改用	v	4.96	3
背负	v	4.96	3
接手	v	4.96	3
老翁	n	4.96	3
tWITTER	vi	4.96	3
婚介所	n	4.96	3
风机	n	4.96	3
拖累	vn	4.96	3
福祉	n	4.96	3
铁矿	n	4.96	3
春雷	n	4.96	3
巡演	v	4.96	3
新股	n	4.96	3
马术	n	4.96	3
下行	vi	4.96	3
成交价	n	4.96	3
快件	n	4.96	3
物件	n	4.96	3
门牌号	n	4.96	3
车体	n	4.96	3
跟进	v	4.96	3
单元楼	n	4.96	3
协约国	n	4.96	3
噱头	n	4.96	3
做爱	v	4.96	3
当然	d	4.95	16
地址	n	4.95	42
馆	ng	4.93	35
产权	n	4.93	10
存取	vn	4.92	5
或许	d	4.92	14
官兵	n	4.92	7
竞争力	n	4.92	7
制	v	4.91	21
人均	a	4.90	18
主角	n	4.89	8
工委	n	4.89	8
路线	n	4.89	5
经费	n	4.89	5
解放	v	4.89	5
愿望	n	4.89	5
创办	v	4.89	5
分子	n	4.89	5
物品	n	4.89	6
回报	v	4.89	6
地处	v	4.89	5
财力	n	4.89	5
打印	v	4.89	6
亲戚	n	4.89	5
放宽	v	4.89	5
一审	n	4.89	5
超市	n	4.89	5
区长	n	4.89	5
原谅	v	4.89	5
购车	v	4.89	5
纵火	vi	4.89	5
制止	v	4.88	3
忽略	v	4.88	3
喜剧	n	4.88	3
30万	m	4.88	4
现代化	vn	4.87	4
总书记	n	4.86	4
center	n	4.86	2
child	n	4.86	2
审议	vn	4.86	4
渠道	n	4.86	4
克服	v	4.86	4
环保	n	4.86	4
纪律	n	4.86	4
一国两制	n	4.86	4
评选	vn	4.86	4
商场	n	4.86	4
合并	vn	4.86	4
损害	vn	4.86	4
生物	n	4.86	4
历程	n	4.86	4
党组	n	4.86	4
寻求	v	4.86	4
作业	n	4.86	4
着力	vd	4.86	4
看看	v	4.86	4
制品	n	4.86	4
统筹	vn	4.86	4
珍惜	v	4.86	4
分工	vi	4.86	4
货物	n	4.86	4
判决	vn	4.86	4
代价	n	4.86	4
场地	n	4.86	4
针对性	n	4.86	4
竞选	vn	4.86	4
不正之风	nl	4.86	4
码头	n	4.86	4
策略	n	4.86	4
船舶	n	4.86	4
绿地	n	4.86	4
传媒	n	4.86	4
花园	n	4.86	4
爱情	n	4.86	4
中队	n	4.86	4
欺诈	vn	4.86	4
理事会	n	4.86	4
事态	n	4.86	4
分管	v	4.86	2
纪委	n	4.86	4
地铁	n	4.86	4
牵头	vi	4.86	4
悬挂	v	4.86	4
震撼	v	4.86	4
顺应	v	4.86	4
言论	n	4.86	4
食堂	n	4.86	4
老家	n	4.86	4
证件	n	4.86	4
股权	n	4.86	4
智能	n	4.86	4
数字化	vi	4.86	2
疗效	n	4.86	4
出面	vi	4.86	4
灭火	vi	4.86	4
靠近	v	4.86	4
开户	vi	4.86	4
眼镜	n	4.86	2
肇事	vi	4.86	4
幻想	n	4.86	4
影院	n	4.86	4
车子	n	4.86	4
本事	n	4.86	2
死者	n	4.86	4
实习	vn	4.86	4
异议	n	4.86	4
开张	vi	4.86	4
带走	v	4.86	4
招呼	v	4.86	4
包容	v	4.86	4
商业化	vn	4.86	4
店铺	n	4.86	4
出事	vn	4.86	4
建制	n	4.86	4
警戒	vn	4.86	4
打扮	v	4.86	4
防灾	vn	4.86	4
庆幸	v	4.86	2
东航	n	4.86	4
清单	n	4.86	4
有色金属	n	4.86	4
开放性	n	4.86	4
惯性	n	4.86	2
显示屏	n	4.86	4
外表	n	4.86	4
行政区划	n	4.86	8
主帅	n	4.86	4
中远	nz	4.86	4
狂人	n	4.86	2
隐居	v	4.86	2
爆炒	v	4.86	4
无可奉告	vl	4.86	2
弄	v	4.86	17
智慧	n	4.86	7
严重	ad	4.85	22
显然	ad	4.85	12
一点	mq	4.84	16
困难	an	4.84	21
不少	m	4.83	27
特殊	a	4.83	8
服饰	n	4.83	7
争吵	vn	4.83	7
生	v	4.82	14
约定	v	4.82	6
输血	vi	4.82	6
物流	n	4.82	6
计算	v	4.82	11
小姐	n	4.80	3
传闻	n	4.80	5
坐	v	4.80	35
砸	v	4.79	31
公交	b	4.79	47
网上	s	4.78	24
战	ng	4.78	20
信	n	4.78	18
镇	n	4.78	15
胜	v	4.78	13
案	ng	4.78	16
样子	n	4.77	6
口	n	4.77	23
供	vi	4.77	19
漂亮	a	4.76	9
退休	vn	4.76	8
座谈会	n	4.76	5
28	m	4.75	12
控股	vn	4.72	5
心态	n	4.72	5
完毕	vi	4.72	5
超标	vi	4.72	5
银行业	n	4.72	5
表情	n	4.72	5
保险费	n	4.72	10
轨道	n	4.71	30
优秀	a	4.70	14
衍生	vn	4.70	50
成长	vi	4.70	7
证	n	4.67	58
豪华	a	4.67	10
规范	a	4.67	9
美美	d	4.65	12
处罚	vn	4.65	8
终于	d	4.64	15
salchli	n	4.64	5
长期	d	4.63	10
获悉	v	4.61	18
在家	vi	4.59	6
造纸	vn	4.59	6
园	ng	4.59	34
栽赃	vn	4.59	2
必然	d	4.59	15
行星	n	4.58	8
定价	vn	4.56	9
hDMI	n	4.55	3
netChina	n	4.55	3
1366×768	m	4.55	3
8000	m	4.55	3
4000	m	4.55	3
一两	m	4.55	3
两千	m	4.55	3
300万	m	4.55	3
10B2	n	4.55	3
9000	m	4.55	3
8×8	m	4.55	3
小风	nr2	4.54	4
福彩	nr2	4.54	2
3000万	m	4.54	4
50	m	4.54	13
静安	nr2	4.54	5
掉	v	4.53	21
足联	n	4.52	12
300	m	4.52	12
高度	d	4.52	16
首先	d	4.51	17
病例	n	4.50	11
推	v	4.49	15
取	v	4.48	13
帮	v	4.48	21
sUV	n	4.46	7
涨	vi	4.46	20
情	n	4.46	21
换	v	4.46	21
亏	ng	4.45	17
加	v	4.45	16
领	v	4.45	16
名字	n	4.43	6
淡水	n	4.43	12
cBA	n	4.43	5
tTL	n	4.43	5
选	v	4.42	21
明	vg	4.42	19
十四	m	4.42	4
公平	a	4.41	12
10%	m	4.38	9
伙伴	n	4.38	8
姐妹	n	4.37	3
600	m	4.37	16
坦言	v	4.37	8
电信	n	4.35	5
下去	vf	4.35	7
据说	v	4.34	4
警报	n	4.34	4
先进	a	4.34	12
东方	s	4.33	87
混战	vi	4.31	2
蜂窝	n	4.31	2
黑幕	n	4.31	2
二手	b	4.31	16
城	n	4.30	26
全球化	vn	4.29	7
自觉	ad	4.28	7
真实	a	4.28	7
正确	ad	4.28	11
13	m	4.27	13
上述	b	4.26	17
突然	ad	4.26	6
乐观	a	4.26	8
卡	n	4.24	16
风向标	n	4.23	5
必要	a	4.23	8
做好	v	4.23	5
国土	n	4.23	8
亚运会	n	4.23	8
共计	v	4.23	5
在场	vi	4.23	5
10月份	t	4.22	12
早已	d	4.22	10
左右	m	4.22	48
黄金	n	4.21	7
sfood	n	4.21	2
weddingPlanner	n	4.21	2
pedestrianofNanjingRoad	n	4.21	2
invictus	n	4.21	2
google	n	4.21	2
radarOnline	n	4.21	2
d300	n	4.21	2
iSO3200	n	4.21	2
七八	m	4.21	2
70万	m	4.21	2
7·5	m	4.21	4
4.5亿	m	4.21	2
数千万	m	4.21	2
15亿	m	4.21	2
3.5mm	n	4.21	2
一万	m	4.21	2
40万	m	4.21	2
三四	m	4.21	2
上千万	m	4.21	2
22.46％	m	4.21	2
10.7％	m	4.21	2
3.0L	n	4.21	2
25万	m	4.21	2
120万	m	4.21	2
9·13	m	4.21	2
13亿	m	4.21	2
20亿	m	4.21	2
上百	m	4.21	2
世博	nr2	4.21	2
6000万	m	4.21	2
4000万	m	4.21	2
4800	m	4.21	2
4500	m	4.21	2
5300	m	4.21	2
７·５	m	4.21	4
1·2	m	4.21	2
1230万	m	4.21	2
18-105mm	n	4.21	2
320×216	m	4.21	2
1280×720	m	4.21	2
720p	n	4.21	2
140万	m	4.21	2
跑	v	4.21	20
马上	d	4.20	10
个别	a	4.20	7
降	v	4.20	15
不好	a	4.19	10
三菱	nz	4.19	9
良好	a	4.19	9
立即	d	4.19	9
动	v	4.19	10
乐基儿	nr	4.18	16
袭击	v	4.18	7
单元	n	4.18	27
好好	d	4.17	12
放	v	4.17	19
开心	a	4.16	9
增	v	4.16	13
指示	n	4.16	11
离	v	4.16	17
定	v	4.16	14
教	v	4.15	15
创业	vi	4.14	9
坚决	ad	4.14	9
招	v	4.14	15
牌	n	4.13	40
票	n	4.13	26
言	vg	4.13	20
玩	v	4.13	18
据悉	v	4.12	25
新华社	nt	4.12	11
看来	v	4.12	11
二十	m	4.10	3
2003	m	4.10	3
100%	m	4.10	3
千万	m	4.10	3
010-64098066	m	4.10	3
六百	m	4.10	3
赌	v	4.10	20
非法	b	4.09	12
编队	n	4.09	5
爆出	v	4.09	5
伙同	v	4.09	10
教育局	n	4.09	5
年会	n	4.08	3
机密	n	4.08	3
赔款	vn	4.08	3
末日	n	4.08	3
公共	b	4.08	19
典型	n	4.06	4
答复	vn	4.06	4
保姆	n	4.06	4
专辑	n	4.06	4
资质	n	4.06	4
发行价	n	4.06	4
无缝	vn	4.06	4
附近	f	4.06	22
实体	n	4.06	11
退	v	4.05	23
整个	b	4.04	16
星	n	4.03	17
克	vg	4.03	28
展现	v	4.01	6
联邦	n	4.01	6
前进	vi	4.00	5
大厅	n	4.00	5
信箱	n	4.00	3
方舟	nz	4.00	3
赚钱	v	4.00	5
拍照	vi	4.00	5
小吃	n	4.00	5
违约金	n	4.00	5
蚕丝	n	4.00	5
16	m	3.99	14
通用	nz	3.98	11
纷纷	d	3.97	13
党委	n	3.97	6
力	n	3.97	47
有期徒刑	nl	3.97	6
无序	vd	3.97	6
烧毁	v	3.97	6
高位	n	3.97	6
街	n	3.97	24
访问	vn	3.96	4
出版	v	3.96	4
4.46万	m	3.96	4
环节	n	3.96	4
致使	v	3.96	4
进攻	vn	3.96	4
口岸	n	3.96	4
物业	n	3.96	4
淡化	v	3.96	4
为名	vi	3.96	4
强奸	v	3.96	4
眼神	n	3.96	4
建委	n	3.96	4
庄家	n	3.96	4
碰面	vi	3.96	4
企	ng	3.96	50
一旦	d	3.95	15
全文	n	3.94	16
不错	a	3.92	20
财经	n	3.90	6
武戏	n	3.90	6
常委	n	3.90	7
其实	d	3.90	14
淘	v	3.90	15
尤其	d	3.89	17
实在	d	3.88	15
笑	v	3.87	27
管制	vn	3.87	7
配角	n	3.87	7
双边	n	3.87	5
生涯	n	3.87	5
矿主	n	3.87	5
金东	nz	3.87	5
输	v	3.87	11
宗旨	n	3.87	3
注入	v	3.87	3
认证	vn	3.86	3
宣告	v	3.86	3
上课	vi	3.86	3
字样	n	3.86	3
射击	vi	3.86	3
名声	n	3.86	3
可怜	v	3.86	3
叙事	vn	3.86	3
迫在眉睫	vl	3.86	3
陷阱	n	3.86	3
特指	v	3.86	3
大约	d	3.86	8
突出	a	3.86	6
贫穷	an	3.86	6
李	nr1	3.86	12
明知	v	3.85	4
劳保	n	3.85	10
14	m	3.85	9
装	v	3.85	23
忙	v	3.84	18
温室	n	3.84	19
转	v	3.84	13
擅自	d	3.84	8
丰富	a	3.83	13
德	n	3.83	12
渔业	n	3.82	12
财物	n	3.82	6
雪铁龙	nz	3.82	6
24	m	3.82	11
相互	d	3.82	9
风	n	3.81	13
自然	d	3.81	11
有限	a	3.81	10
尚未	d	3.81	7
iPO	n	3.79	7
创作	v	3.79	3
回答	v	3.79	3
成效	n	3.79	3
办事	vn	3.79	3
电力	n	3.79	3
旅客	n	3.79	3
职务	n	3.79	3
司法	n	3.79	3
妈妈	n	3.79	3
省委	n	3.79	3
逝世	vi	3.79	3
到位	vi	3.79	3
观看	v	3.79	3
两会	n	3.79	3
审计	vn	3.79	3
到来	vi	3.79	3
建交	vi	3.79	3
电视剧	n	3.79	3
法人	n	3.79	3
灾害	n	3.79	3
忽视	v	3.79	3
大门	n	3.79	3
情景	n	3.79	3
视察	v	3.79	3
收回	v	3.79	3
相反	vi	3.79	3
提问	vn	3.79	3
招标	vi	3.79	3
受益	vi	3.79	3
回落	vi	3.79	3
政策性	n	3.79	3
帷幕	n	3.79	3
一如既往	vl	3.79	3
赞同	v	3.79	3
释放	v	3.79	3
当作	v	3.79	3
饮食	n	3.79	3
下发	v	3.79	3
主力	n	3.79	3
原材料	n	3.79	3
国际化	vi	3.79	3
燃料	n	3.79	3
填补	v	3.79	3
眼泪	n	3.79	3
户口	n	3.79	3
算是	v	3.79	3
种类	n	3.79	3
交易所	n	3.79	3
核算	v	3.79	3
食物	n	3.79	3
例子	n	3.79	3
容纳	v	3.79	3
总人口	n	3.79	3
案例	n	3.79	3
遗体	n	3.79	3
旋律	n	3.79	3
开局	n	3.79	3
拯救	v	3.79	3
抛售	v	3.79	3
品尝	v	3.79	3
模样	n	3.79	3
联动	vn	3.79	3
全线	n	3.79	3
动向	n	3.79	3
直径	n	3.79	3
全程	n	3.79	3
少将	n	3.79	3
货源	n	3.79	3
技艺	n	3.79	3
酿成	v	3.79	3
身材	n	3.79	3
经济区	n	3.79	3
车票	n	3.79	3
刷新	v	3.79	3
头球	n	3.79	3
远在	v	3.79	3
合计	v	3.79	3
榜首	n	3.79	3
太太	n	3.79	3
死亡率	n	3.79	3
索要	v	3.79	3
睡觉	vi	3.79	3
交涉	v	3.79	3
君子	n	3.79	3
消费税	n	3.79	3
延期	vi	3.79	3
离家	vi	3.79	3
摄像机	n	3.79	3
围住	v	3.79	3
新高	n	3.79	3
晋级	vi	3.79	3
青年报	n	3.79	3
开玩笑	vi	3.79	3
并行	vi	3.79	3
珠宝	n	3.79	3
色调	n	3.79	3
零件	n	3.79	3
回复	vn	3.79	3
面部	n	3.79	3
戏称	v	3.79	3
望而却步	vl	3.79	3
架空	vn	3.79	6
混淆	v	3.79	3
一无所有	vl	3.79	6
台词	n	3.79	3
加班加点	vl	3.79	3
敲诈	v	3.79	3
运费	n	3.79	3
矿石	n	3.79	3
逃窜	vi	3.79	3
争霸	v	3.79	3
播音	vn	3.79	3
打包	vi	3.79	3
设计院	n	3.79	3
后市	n	3.79	3
自习	v	3.79	3
末班车	n	3.79	3
摇滚乐	n	3.79	3
砖块	n	3.79	6
财大	n	3.79	3
丝线	n	3.79	3
中线	n	3.79	3
装甲车	n	3.79	3
定级	vi	3.79	3
玫瑰园	n	3.79	3
梭子	n	3.79	3
株式会社	n	3.79	3
播放器	n	3.79	3
中海	nz	3.79	3
身上	s	3.79	19
局势	n	3.79	2
破坏	v	3.79	2
气氛	n	3.79	4
系	v	3.79	11
摆脱	v	3.79	2
交谈	vi	3.79	4
处在	v	3.79	2
告别	vi	3.79	4
商标	n	3.79	4
命名	v	3.79	2
扩展	v	3.79	4
回收	v	3.79	4
风雨	n	3.79	2
热潮	n	3.79	2
税款	n	3.79	4
定点	n	3.79	2
宿舍	n	3.79	4
出租	vn	3.79	4
寒风	n	3.79	4
降雨	vn	3.79	4
无意	v	3.79	2
打听	v	3.79	4
报复	v	3.79	2
卡通	n	3.79	2
效能	n	3.79	4
急救	vn	3.79	4
屡禁不止	vl	3.79	2
出庭	vi	3.79	4
治愈	v	3.79	4
二氧化碳	n	3.79	4
偏爱	v	3.79	2
排行榜	n	3.79	2
同名	vi	3.79	4
供应商	n	3.79	4
皮衣	n	3.79	2
拆开	v	3.79	2
起始	vn	3.79	2
渔灯	n	3.79	4
独善其身	vl	3.79	4
夜宵	n	3.79	4
手背	n	3.79	4
合	v	3.79	16
飞	vi	3.78	14
火车	n	3.78	5
集散	vn	3.78	5
岁数	n	3.78	5
亲自	d	3.78	8
跌	v	3.78	13
大大	d	3.78	10
病	n	3.77	15
复杂	a	3.77	9
脚	n	3.76	21
试	v	3.76	19
提	v	3.76	47
前提	n	3.75	6
次数	n	3.75	6
督导	vn	3.75	6
无辜	n	3.75	13
频繁	a	3.75	7
很快	d	3.75	9
行政区域	n	3.75	14
委	ng	3.75	20
20%	m	3.75	6
平稳	ad	3.74	6
尴尬	a	3.74	6
9月	t	3.74	34
至少	d	3.73	11
一路	mq	3.73	14
15%	m	3.73	4
75%	m	3.73	4
2万	m	3.73	4
90%	m	3.73	4
例如	v	3.72	5
大量	m	3.72	15
手中	s	3.72	13
广泛	a	3.72	8
冒充	v	3.71	3
有名无实	vl	3.71	3
第三	m	3.70	14
唱片	n	3.70	5
上海市	ns	3.70	48
圈	n	3.69	27
深刻	a	3.69	8
高兴	a	3.69	5
紧急	a	3.69	5
清晰	a	3.69	5
宏观	n	3.68	4
铁路	n	3.68	4
机遇	n	3.68	4
患者	n	3.68	4
比重	n	3.68	4
县委	n	3.68	4
转换	vn	3.68	4
海军	n	3.68	4
竣工	vi	3.68	4
马克	n	3.68	4
悲剧	n	3.68	4
船只	n	3.68	4
演变	vi	3.68	4
完工	vi	3.68	4
省份	n	3.68	4
自杀	vn	3.68	4
清水	n	3.68	4
头部	n	3.68	8
性别	n	3.68	4
甘心	v	3.68	4
老婆	n	3.68	4
社交	n	3.68	4
巧合	vi	3.68	4
出游	v	3.68	4
内控	vn	3.68	4
福利性	n	3.68	4
放火	vn	3.68	8
熊市	n	3.68	4
提纯	vi	3.68	4
吕某	nr	3.67	13
家门	n	3.66	49
地价	n	3.65	7
简单	a	3.65	6
单一	a	3.65	6
不等	vi	3.64	5
构建	v	3.64	5
上扬	v	3.64	5
走路	vi	3.64	5
坐下	vi	3.64	5
面包车	n	3.64	5
认真	ad	3.64	7
防守	v	3.63	3
无所谓	vl	3.63	3
书香	n	3.63	3
负	v	3.63	17
改	v	3.63	30
以前	f	3.62	22
容易	ad	3.61	7
快乐	a	3.61	7
选举	vn	3.60	6
倒	vi	3.60	10
矛盾	an	3.58	7
准确	a	3.58	7
感	ng	3.57	14
查	v	3.57	10
80	m	3.56	17
保	v	3.56	20
含量	n	3.56	5
候选人	n	3.56	5
一体	n	3.56	5
顶棚	n	3.56	5
派	v	3.56	12
newlyState	n	3.55	2
歌	vg	3.54	11
品	ng	3.54	13
板	ng	3.54	16
小组	n	3.53	7
购	v	3.53	11
铁	n	3.53	9
创	vg	3.52	13
科	n	3.52	13
药	n	3.51	13
民	ng	3.51	14
社会主义	n	3.51	2
思想	n	3.51	2
喝	vg	3.51	11
祖国	n	3.51	2
指导	vn	3.51	2
外交	n	3.51	2
反对	v	3.51	2
深化	v	3.51	2
国民经济	n	3.51	2
人物	n	3.51	2
电脑	n	3.51	2
委员长	n	3.51	2
树立	v	3.51	2
主张	n	3.51	2
规律	n	3.51	2
外汇	n	3.51	2
冲突	vn	3.51	2
推行	v	3.51	2
山区	n	3.51	2
卫星	n	3.51	2
收到	v	3.51	2
接待	v	3.51	2
灾区	n	3.51	2
看法	n	3.51	2
产量	n	3.51	2
合格	vi	3.51	2
信贷	n	3.51	2
潜力	n	3.51	2
middle	n	3.51	2
吸收	v	3.51	2
会长	n	3.51	2
宪法	n	3.51	2
振兴	vn	3.51	2
奉献	v	3.51	2
垃圾	n	3.51	2
谈话	vn	3.51	2
纺织	vn	3.51	2
乡村	n	3.51	2
大陆	n	3.51	2
接触	v	3.51	2
表彰	v	3.51	2
称号	n	3.51	2
读书	vi	3.51	2
重复	vd	3.51	4
董事长	n	3.51	2
列车	n	3.51	2
企业家	n	3.51	2
技能	n	3.51	2
海关	n	3.51	2
抵达	v	3.51	2
客户	n	3.51	2
前来	vi	3.51	2
捐款	n	3.51	2
难题	n	3.51	2
局部	n	3.51	2
现状	n	3.51	4
未能	v	3.51	2
陪同	v	3.51	2
经营者	n	3.51	2
航空	n	3.51	2
估计	v	3.51	2
武警	n	3.51	4
光盘	n	3.51	2
产值	n	3.51	2
遭到	v	3.51	2
来华	vi	3.51	2
干预	vn	3.51	2
发动	v	3.51	2
爱心	n	3.51	2
人事	n	3.51	2
进出口	vn	3.51	2
群体	n	3.51	2
支柱	n	3.51	2
行长	n	3.51	2
营造	vn	3.51	2
音乐会	n	3.51	2
高潮	n	3.51	2
健身	vn	3.51	2
交警	n	3.51	2
占有	v	3.51	2
牺牲	v	3.51	4
遏制	vn	3.51	2
比分	n	3.51	2
失误	vn	3.51	2
监测	vn	3.51	2
wind	n	3.51	2
疾病	n	3.51	2
油田	n	3.51	2
动作	n	3.51	2
头脑	n	3.51	2
享有	v	3.51	4
分散	v	3.51	2
