Word	Part-Of-Speech	Weight	Frequency
防护	vn	9.53	10
拦截	v	9.53	10
财经	n	9.53	19
替代	v	9.52	11
超越	v	9.52	10
汽车	n	9.51	7
分配	vn	9.51	7
邀请	v	9.51	12
交易量	n	9.50	13
对方	n	9.50	9
歌剧	n	9.50	9
防卫	vn	9.50	9
打破	v	9.50	14
股票	n	9.49	11
指数	n	9.49	11
制作	v	9.49	12
总结	v	9.49	10
船坞	n	9.49	10
大纲	n	9.48	13
部分	m	9.48	63
积累	v	9.47	12
精英	n	9.47	12
时刻	n	9.47	21
小组	n	9.47	8
加贺	n_new	9.46	11
历史性时刻	n_new	9.46	6
敌人	n	9.45	8
民众	n	9.45	18
意识	n	9.43	13
战列舰	n	9.43	12
期货	n	9.43	11
学术	n	9.42	9
停止	v	9.42	9
等待	v	9.42	9
无人机	n	9.42	9
赚钱	v	9.42	14
持有	v	9.42	10
普通话	n	9.42	10
涵盖	v	9.42	10
形态	n	9.42	13
作品	n	9.41	18
年级	n	9.40	13
运作	vi	9.39	14
层面	n	9.39	23
有望	v	9.39	11
供应	v	9.39	25
增强	v	9.38	9
航程	n	9.38	9
借鉴	v	9.37	14
现状	n	9.37	17
挣钱	vi	9.37	16
阅读	v	9.36	15
反映	v	9.36	12
背景	n	9.35	28
民族	n	9.35	12
中央	n	9.33	15
给予	vx	9.33	11
注重	v	9.33	9
威胁	vn	9.33	9
走向	v	9.33	11
英文	nz	9.33	9
效应	n	9.33	16
状况	n	9.32	19
严重	ad	9.32	39
解放军	n	9.31	17
仍然	d	9.30	30
机飞行员	n_new	9.30	8
cluster	n	9.30	20
海岸	n	9.29	13
人物	n	9.28	11
命名	v	9.28	24
上升	vi	9.28	21
承载	v	9.28	11
差异	n	9.27	29
熊市	n	9.27	12
再次	d	9.25	37
唯一	d	9.25	33
纳入	v	9.24	38
腾讯新闻	n_new	9.22	70
难题	n	9.22	16
收益	n	9.20	10
想到	v	9.18	13
试点	vn	9.17	16
类	n	9.17	57
两栖攻击	n_new	9.14	10
本质	n	9.12	15
程序	n	9.12	15
所有	b	9.09	72
机器	n	9.09	20
跟	v	9.06	48
result	n	9.05	17
加上	v	9.02	20
来源	n	8.95	54
沉浸式	n_new	8.92	6
资料	n	8.90	49
lingoAce	n	8.89	5
版本	n	8.88	16
健康	ad	8.86	26
进一步	d	8.86	65
lJWF_Inits	n	8.85	7
俄罗斯	nsf	8.82	100
学好中文	n_new	8.82	8
lJSentimentAnalysis	n	8.79	14
乔老师	n_new	8.79	3
双翼飞机	n_new	8.79	3
pcFindAll	n	8.76	36
隐身	v	8.75	13
黑客马拉松	n_new	8.75	12
条件	n	8.75	12
开工	vi	8.74	16
环节	n	8.72	24
coinbase	n	8.72	10
水上飞机	nl	8.71	12
华裔青少年	n_new	8.71	5
工作服	n	8.71	12
采购	vn	8.71	6
尺寸	n	8.71	6
战舰	n	8.70	13
定制	n	8.67	22
付出	vn	8.67	14
空军	n	8.67	15
lJST_Inits	n	8.65	9
快递	v	8.65	9
法定货币	n_new	8.65	5
同济大学	n_new	8.65	5
外国语学院	n_new	8.65	5
建议	v	8.65	10
证券	n	8.62	9
办理	v	8.62	7
卓越教育	n_new	8.62	12
驾驶	vn	8.62	7
专注	vd	8.61	14
部长	n	8.60	8
存款	n	8.60	8
足够	v	8.60	13
英军	n	8.59	18
破坏	v	8.58	12
超出	v	8.58	8
重塑	v	8.58	8
攻击机	n	8.58	8
设立	v	8.58	10
生成	v	8.58	9
领导	n	8.56	7
正是	v	8.56	18
现象	n	8.56	7
工厂	n	8.56	7
软件	n	8.56	7
高层	n	8.56	7
船舶	n	8.56	7
创立	v	8.56	7
发动机	n	8.56	7
交易员	n	8.56	7
十分	d	8.55	29
科研	n	8.55	11
对话	vn	8.55	12
主动	a	8.55	18
视野	n	8.54	17
容易	a	8.54	23
出席	v	8.54	14
高考	vi	8.53	9
放弃	v	8.52	11
指标	n	8.52	11
颁发	v	8.52	11
相对	d	8.51	35
安排	v	8.51	8
确定	v	8.51	8
型号	n	8.51	12
配合	v	8.51	8
带动	v	8.51	8
战友	n	8.51	8
缺陷	n	8.51	8
外界	n	8.51	8
外语	n	8.51	8
参数	n	8.51	8
关心	v	8.51	14
口语	n	8.50	9
听说	v	8.49	12
简单	a	8.48	39
感知	v	8.48	8
作出	v	8.47	10
方便	v	8.47	6
提前	vd	8.47	6
维持	v	8.47	6
拓展	v	8.47	6
题材	n	8.47	6
中小学	n	8.47	12
滑跑	v	8.47	6
军备	n	8.47	10
偷袭	v	8.47	10
岗位	n	8.46	8
主体	n	8.46	8
物资	n	8.46	8
学会	v	8.46	8
接收	v	8.46	8
形势	n	8.46	15
主权	n	8.45	9
信号	n	8.45	9
病毒	n	8.45	9
图纸	n	8.45	9
海	n	8.45	88
大海	n	8.45	12
解读	vn	8.42	10
师生	n	8.42	22
力	n	8.42	53
驱动	vn	8.42	19
拦阻	v	8.42	23
dE_Init	n	8.41	10
头部	n	8.41	13
跑道	n	8.41	14
死亡	vi	8.41	9
牵引	vn	8.41	9
输入	v	8.40	7
海军发言人	n_new	8.40	5
折叠翼	n_new	8.40	5
军队	n	8.40	7
感谢	v	8.40	7
兑换	v	8.40	10
前来	vi	8.40	7
专用	vn	8.40	7
轰炸	v	8.40	7
扩容	v	8.39	11
派遣	v	8.39	8
动画片	n	8.39	18
培训班	n	8.38	10
模型	n	8.38	11
将军	n	8.38	10
龙头	n	8.38	9
抵抗	v	8.38	9
人口	n	8.37	8
读者	n	8.37	8
组建	v	8.37	8
机械	n	8.37	8
开拓	v	8.36	10
体现	v	8.36	13
string	n	8.36	99
总统	n	8.36	13
改善	v	8.36	10
船	njtgj	8.35	44
网易新闻	n_new	8.35	29
地址	n	8.34	21
少女	n	8.34	36
革命	vn	8.33	9
反对	v	8.33	9
包含	v	8.33	9
现金	n	8.33	11
任教	vi	8.33	13
入场	vi	8.33	11
城市	n	8.32	14
炸药	n	8.32	13
架构	n	8.32	8
营收	n_new	8.32	8
认同	vn	8.32	18
查询系统	n_new	8.31	5
function	n	8.31	42
司法	n	8.30	14
初创企业	n_new	8.28	15
服务器	n	8.28	9
华人父母	n_new	8.27	8
参与者	n	8.27	10
毒品交易	n_new	8.26	3
可以说是	n_new	8.26	3
任意一个	n_new	8.26	3
自行建造	n_new	8.26	3
活靶子	n_new	8.26	3
负面新闻	n_new	8.26	3
割韭菜	n_new	8.26	3
最新资讯	n_new	8.26	3
双层运营	n_new	8.26	3
数据孤岛	n_new	8.26	3
退出	v	8.26	20
减速降落	n_new	8.26	3
海军陆战队	n_new	8.26	3
近程防空	n_new	8.26	3
煤仓	n_new	8.26	2
合规化	n_new	8.26	8
公司破产	n_new	8.25	5
中文教育工作者	n_new	8.25	5
遇到	v	8.25	12
仪式	n	8.24	13
文字	n	8.24	29
语料	n	8.23	10
盖楼	n_new	8.21	6
就业	vn	8.21	19
名字命名	n_new	8.21	10
燃料	n	8.21	9
厨师	n	8.21	12
相当	d	8.20	35
查询	v	8.20	10
门槛	n	8.19	13
概念	n	8.18	17
逐渐	d	8.16	38
中国话	n	8.16	14
陌生感	n_new	8.15	12
图谱	n	8.13	14
民间	n	8.13	15
path	n	8.13	41
2021年	t	8.12	39
一百倍	n_new	8.12	3
篡改	v	8.12	19
自由	a	8.12	22
classifier_init	n	8.12	21
70多	n_new	8.11	25
隐私	n	8.11	17
巨大	a	8.11	48
ipfs	x	8.11	41
掀起	v	8.10	12
项目申报	n_new	8.10	5
世链	n_new	8.10	5
形象	n	8.08	12
造	v	8.08	36
综合国力	n	8.07	19
出版社出版	n_new	8.07	4
海军参谋长	n_new	8.07	4
交际能力	n_new	8.07	4
拦截距离	n_new	8.07	4
节点招募	n_new	8.07	4
消费者	n	8.05	14
子女	n	8.03	27
理由	n	8.01	13
保存	v	8.00	10
港元	n	8.00	10
模块	n	7.97	16
政务	n	7.96	37
安全实验室	n_new	7.93	12
声明	n	7.92	17
例如	v	7.92	41
呼叫	v	7.89	11
第二	m	7.89	84
发生火灾	n_new	7.87	6
需求与日俱增	n_new	7.85	5
教培	n_new	7.85	5
舰载航空兵	n_new	7.85	5
具体	ad	7.85	32
港澳台师生	n_new	7.82	8
目录	n	7.78	31
回答	vn	7.76	7
全球化	vn	7.76	7
我国科学家	n_new	7.76	2
解放台湾	n_new	7.76	2
有力推动	n_new	7.76	4
官方立场	n_new	7.76	2
总量超过	n_new	7.76	2
指示人员	n_new	7.76	2
市场泡沫	n_new	7.76	8
与会代表	n_new	7.76	2
北方舰队	n_new	7.76	2
中学教师	n_new	7.76	2
战略新兴	n_new	7.76	4
台湾风云	n_new	7.76	2
募集社会	n_new	7.76	2
标志性成果	n_new	7.76	2
机体结构	n_new	7.76	2
参赛团队	n_new	7.76	2
政法系统	n_new	7.76	4
穿红色	n_new	7.76	2
crypto税务	n_new	7.76	2
西南太平洋	n_new	7.76	4
技术性调整	n_new	7.76	2
前面两	n_new	7.76	2
人才缺口	n_new	7.76	4
节点任期	n_new	7.76	2
交易中介	n_new	7.76	2
资金清算	n_new	7.76	2
热门项目	n_new	7.76	4
打击大队	n_new	7.76	2
开始思索	n_new	7.76	2
处于劣势	n_new	7.76	2
火星财经	n_new	7.76	2
地缘战略	n_new	7.76	2
海上封锁	n_new	7.76	2
兑换平台	n_new	7.76	4
正式落户	n_new	7.76	2
进入靶场	n_new	7.76	2
北海舰队	n_new	7.76	2
海军司令	n_new	7.76	2
可以升空	n_new	7.76	2
视频课	n_new	7.76	6
时间顺序	n_new	7.76	2
公立学校	n_new	7.76	2
登陆作战	n_new	7.76	2
标准教程	n_new	7.76	2
穿越南海	n_new	7.76	2
存储单元	n_new	7.76	2
正版系统	n_new	7.76	2
山寨币	n_new	7.76	2
地址登录	n_new	7.76	4
互联网巨头	n_new	7.76	4
翼尖	n_new	7.76	2
学习文言文	n_new	7.76	2
海军上校	n_new	7.76	2
双层船体	n_new	7.76	4
格斗性能	n_new	7.76	2
驶入南海	n_new	7.76	2
舰载运输机	n_new	7.76	2
游戏道具	n_new	7.76	4
航母归国	n_new	7.76	2
谢谢土豪	n_new	7.76	2
电子战飞机	n_new	7.76	2
v型	n_new	7.76	4
航海线	n_new	7.76	2
阻尼力	n_new	7.76	2
近程防御	n_new	7.76	2
锚链	n_new	7.76	2
中程防空	n_new	7.76	2
取消	v	7.75	11
工信	n_new	7.73	7
封闭	vn	7.72	7
抓住	v	7.72	6
联合国	nt	7.71	57
信息检索	n_new	7.71	57
截至	v	7.71	21
笔者认为	n_new	7.70	5
赢利计划	n_new	7.70	5
复合型人才	n_new	7.70	5
张明珠	nr	7.69	42
方面着手	n_new	7.69	4
initial directory	n_new	7.68	13
类别	n	7.66	7
海上霸权	n_new	7.66	5
可信	a	7.65	18
黑客	n	7.65	21
事故	n	7.65	11
年龄	n	7.63	5
强国	n	7.63	12
课	n	7.63	62
引爆	v	7.62	13
青少年	n	7.62	11
办法	n	7.62	12
华文	nz	7.62	35
话语体系	n_new	7.61	14
主	n	7.61	211
拆除	vn	7.60	9
妈妈	n	7.60	9
难以	d	7.60	28
书法比赛	n_new	7.59	3
咨询服务	n_new	7.59	3
工艺水平	n_new	7.59	3
发展历程	n_new	7.59	3
医疗保健	n_new	7.59	3
负面影响	n_new	7.59	3
疫情扩散	n_new	7.59	3
价格成交	n_new	7.59	3
金融管理局	n_new	7.59	3
传达信息	n_new	7.59	3
汉语爱好者	n_new	7.59	3
就是分叉	n_new	7.59	3
主义者	n_new	7.59	3
应对疫情	n_new	7.59	3
稀缺性	n_new	7.59	3
本位币	n_new	7.59	3
军人	n	7.59	6
电磁	n	7.58	22
预算	n	7.58	9
母体	n	7.57	8
明确	ad	7.57	17
init	n	7.56	43
抽取	v	7.56	12
有利于	v	7.55	11
重新	d	7.55	26
dE_Exit	n	7.55	11
lJWF_Exits	n	7.55	9
使得	vi	7.54	23
利润	n	7.54	12
注意	v	7.54	14
来到	v	7.54	6
声称	v	7.54	7
军方	n	7.54	7
命中	v	7.54	7
雨林	n	7.54	14
收藏品	n	7.53	16
引进	v	7.53	9
继承	v	7.53	9
解释	v	7.53	13
检索	vn	7.53	66
改进	v	7.52	8
心理	n	7.52	8
指导意见	n_new	7.52	11
占据	v	7.52	8
宽度	n	7.52	8
试航	vi	7.51	10
keyExtract_Init	n	7.51	6
classifier_exec_ext	n	7.51	6
经历	v	7.51	26
好像	v	7.50	7
广泛	ad	7.50	20
整个	b	7.50	37
信心	n	7.49	13
质疑	vn	7.49	11
共有	v	7.49	17
损失	n	7.49	10
统一	v	7.48	6
材料	n	7.48	6
善于	v	7.48	6
生意	n	7.48	6
编制	v	7.48	6
输送	v	7.48	6
获利	v	7.48	6
烟囱	n	7.48	6
穿透	v	7.48	6
因素	n	7.48	11
巨头	n	7.48	10
儿子	n	7.48	13
认知	vn	7.47	10
节目	n	7.47	12
教研	n	7.47	12
规范	a	7.46	26
证书	n	7.45	9
携带	v	7.45	9
聚焦	vi	7.45	10
大陆	n	7.44	10
毕业生	n	7.44	10
只是	d	7.44	34
批准	v	7.44	7
做好	v	7.44	7
小学	n	7.44	7
促使	v	7.44	7
地球	n	7.44	7
群体	n	7.44	7
出国	vi	7.44	7
感染	v	7.44	7
心态	n	7.44	7
集成	vn	7.44	7
开启	v	7.44	7
实时	n	7.44	7
电动机	n	7.44	7
个体	n	7.44	9
启蒙	vn	7.44	13
变成	v	7.43	8
日报	n	7.43	8
回报	v	7.43	8
同步	vi	7.43	8
积分	n	7.43	8
上尉	n	7.43	8
龙骨	n	7.43	8
链上天眼pro	n_new	7.43	6
战区	n	7.43	10
当兵	vi	7.41	5
舱室	n	7.41	11
GBK_CODE	n	7.41	14
年度	n	7.41	9
精神	n	7.41	10
传承	vn	7.40	16
音节	n	7.40	10
边缘	n	7.40	9
规则	n	7.40	8
条约	n	7.40	11
对付	v	7.40	10
声音	n	7.40	15
风口	n	7.39	15
动物	n	7.38	7
普及	vn	7.38	8
以为	v	7.38	8
走势	n	7.38	8
停靠	v	7.38	8
国际交往	n_new	7.38	4
世界舞台	n_new	7.38	4
中文列为	n_new	7.38	4
遍布全球	n_new	7.38	4
善款	n_new	7.38	4
职业国标	n_new	7.38	4
弥平	n_new	7.38	4
总理	n	7.38	5
数学	n	7.38	7
前轮	n	7.38	7
冲突	vn	7.38	5
运输	vn	7.38	5
收到	v	7.38	5
抵达	v	7.38	5
客户	n	7.38	5
轨道	n	7.38	5
思维	n	7.38	5
热爱	v	7.38	5
提交	v	7.38	5
向前	vi	7.38	5
到达	v	7.38	5
对抗	v	7.38	5
武力	n	7.38	5
会员	n	7.38	5
创意	n	7.38	5
识别	vn	7.38	5
军工	n	7.38	5
大洋	n	7.38	5
跟随	v	7.38	5
操纵	v	7.38	5
高位	n	7.38	5
挑衅	vn	7.38	5
大校	n	7.38	5
核反应堆	nl	7.38	5
搭建	v	7.38	5
黑人	n	7.37	12
申报	ntzy	7.37	11
海战	v	7.37	13
细分	vn	7.36	9
分析师	n_new	7.36	5
西方国家	n_new	7.36	5
动作	n	7.35	9
域名	n	7.35	9
队伍	n	7.35	11
研究院	n	7.35	13
歼敌者	n_new	7.34	3
人民	n	7.34	8
信息化	vn	7.33	10
培育	v	7.33	9
警方	n	7.33	9
钢板	n	7.33	9
海峡	n	7.33	8
dS_Exit	n	7.32	10
暴涨	vi	7.32	13
证券交易所	n_new	7.32	6
制约	v	7.31	9
意思	n	7.31	11
发表	v	7.30	6
创作	v	7.30	6
谈判	vn	7.30	6
追求	vn	7.30	6
修改	vn	7.30	6
防范	vn	7.30	6
检测	v	7.30	6
确认	v	7.30	6
高中	n	7.30	6
感慨	v	7.30	6
辅导	v	7.30	6
值班	vn	7.30	6
充当	v	7.30	6
追踪	v	7.30	6
后续	v	7.30	6
摧毁	v	7.30	6
护卫	v	7.30	6
力度	n	7.30	8
选手	n	7.30	8
进攻	v	7.30	8
延长	v	7.30	8
周期	n	7.30	8
高温	n	7.30	8
陆军	n	7.30	8
符合	v	7.28	9
眼睛	n	7.28	7
过来	vf	7.28	7
实验	vn	7.28	7
容纳	v	7.28	7
缺点	n	7.28	7
追逐	v	7.28	7
从业者	n	7.28	14
庄家	n	7.28	7
留学	v	7.27	11
难点	n	7.26	9
舞台	n	7.25	10
激发	v	7.25	10
优点	n	7.25	10
老外	n	7.25	5
攀升	v	7.24	10
冷战	n	7.24	8
预警机	n	7.24	8
书写	v	7.24	9
智能化	vn	7.24	9
sText	n	7.23	34
encoding	n	7.23	20
大有可为	vl	7.22	7
爱好者	n	7.22	7
延误	v	7.22	7
娱乐	vn	7.21	10
char	n	7.20	141
累计学习	n_new	7.20	10
提取组件	n_new	7.20	5
rR_Exit	n	7.20	11
制度	n	7.19	8
警告	v	7.19	8
曾经	d	7.19	25
船员	n	7.19	11
classifier_exec	n	7.19	9
对接	vi	7.19	7
顾问	n	7.18	9
销售	vn	7.18	10
记住	v	7.16	7
泡沫	n	7.16	16
似乎	d	7.16	23
颠覆	v	7.15	10
本体	n	7.15	12
强烈	a	7.14	33
伴随	v	7.14	12
经济体	n	7.12	14
主办	v	7.11	9
态势	n	7.11	10
即可	v	7.11	17
追溯	v	7.11	13
编写	vn	7.10	8
运气	n	7.10	8
国标	n	7.10	8
暴发	vi	7.10	8
度	ng	7.09	42
重大	a	7.09	23
军事基地	nl	7.09	10
使命	n	7.08	9
飞	vi	7.08	32
rR_Init	n	7.07	11
dS_Init	n	7.07	9
classifier_detail	n	7.06	10
顶贴	n_new	7.06	6
摘要	n	7.06	24
cLUS_Exit	n	7.02	13
读书	vi	7.02	10
转向	vi	7.02	8
漏水	vi	7.02	8
暴富	v	7.02	10
新建	v	7.01	13
思路	n	6.96	13
真正	b	6.93	49
转载	v	6.93	14
说法	n	6.93	14
象征	n	6.93	13
新浪	ntz	6.92	23
特别	d	6.89	66
路径	n	6.89	21
操作员	n	6.89	20
投资人	n	6.87	28
先进	a	6.87	26
output	n	6.87	55
存量	n	6.86	8
大型	b	6.85	38
current directory	n_new	6.85	8
错误	n	6.82	16
区	n	6.80	41
长期	d	6.79	21
海底	n	6.78	14
facebook	n	6.78	25
cLUS_AddContent	n	6.78	12
标志	n	6.78	17
外籍	n	6.74	14
cLUS_SetParameter	n	6.73	12
全部	m	6.72	29
大量	m	6.69	52
相反	vi	6.68	9
几乎	d	6.68	29
深入	ad	6.68	19
携手	vd	6.66	11
便于	v	6.63	8
进场	vi	6.63	8
港口	n	6.63	17
新增	v	6.61	5
视为	v	6.61	5
引擎	n	6.61	5
顺利	ad	6.61	23
汉语言	n	6.60	15
竞技	v	6.60	8
精力	n	6.60	10
下水	vi	6.59	10
毕业	v	6.59	14
出去	vf	6.59	16
最高	a	6.59	29
出售	v	6.58	8
后勤	n	6.58	7
世纪	n	6.58	21
确实	a	6.57	19
助推汉语	n_new	6.57	4
看来	v	6.57	15
登录	v	6.56	8
议题	n	6.55	6
能量	n	6.54	7
护航	vn	6.53	9
http	n	6.53	132
航空兵	n	6.51	10
最终	d	6.50	31
核武器	n	6.50	6
勋章	n	6.50	6
贝壳	n	6.50	6
陷入	v	6.50	4
号称	v	6.50	4
中小银行	n	6.50	4
自然	d	6.50	76
宇宙	n	6.49	10
表面	n	6.49	11
接口	n	6.49	35
原则	n	6.48	7
重量	n	6.48	7
铺设	v	6.48	7
侦察机	n	6.48	7
算	v	6.46	49
加深	v	6.46	12
击中	v	6.45	10
帝国	n	6.44	6
符号	n	6.44	8
事务	n	6.44	13
加油	vi	6.43	21
担心	v	6.43	6
认证	vn	6.43	6
寿命	n	6.43	6
言语	n	6.43	6
转账	vn	6.43	6
载荷	n	6.43	6
优化	v	6.42	7
涨幅	n	6.42	7
轨迹	n	6.42	7
概率	n	6.42	7
资讯	n	6.42	7
数	v	6.41	46
content	n	6.41	344
倡议	n	6.41	9
进程	n	6.41	14
全日制	n	6.41	9
发文	vi	6.41	9
再造	v	6.39	8
指示	n	6.39	5
研讨	vn	6.39	5
福特	nz	6.39	58
可谓	v	6.38	9
舾装	n	6.38	8
引发	v	6.38	10
下去	vf	6.37	17
里程碑	n	6.37	6
招募	v	6.36	8
理财	vi	6.36	8
施工	vn	6.35	5
熟悉	v	6.35	5
领土	n	6.35	5
指定	vn	6.35	5
命令	v	6.35	5
交给	v	6.35	5
崛起	vn	6.35	5
修复	v	6.35	5
提问	vn	6.35	5
盈利	vi	6.35	5
怀疑	v	6.35	5
行驶	vi	6.35	5
消耗	v	6.35	5
gavin	nz	6.35	5
细节	n	6.35	5
穿越	v	6.35	5
区分	v	6.35	5
用来	nr2	6.35	5
锅炉	n	6.35	5
大修	v	6.35	5
链条	n	6.35	5
确诊	v	6.35	5
实战	n	6.35	5
船厂	n	6.35	5
火力	n	6.35	5
航海	vn	6.35	5
燃气轮机	n	6.35	5
明珠	n	6.35	15
复杂	a	6.34	37
表明	v	6.33	10
调研	vn	6.33	10
专业化	vi	6.33	10
理想	n	6.32	7
低于	v	6.32	7
出版社	n	6.32	7
日军	n	6.32	7
官兵	n	6.32	5
回来	v	6.32	10
text	n	6.31	9
赚	v	6.31	37
种植	vn	6.31	6
消除	v	6.31	6
课题	n	6.31	6
协助	v	6.31	6
扩展	v	6.31	6
亚太地区	n	6.31	6
纽带	n	6.31	6
演习	vn	6.31	6
关停	v	6.31	6
爱上	v	6.31	6
拆解	v	6.31	6
划分	v	6.31	10
源于	v	6.31	9
神话	n	6.30	8
儿童	n	6.30	13
武术	n	6.28	9
交通	n	6.28	13
丰富	a	6.27	25
渠道	n	6.27	11
语料库	n	6.27	6
英雄	n	6.26	7
年轻人	n	6.26	7
跨境	vn	6.26	7
扯淡	v	6.26	7
着陆	vi	6.26	9
私有	vn	6.26	13
留下	v	6.24	6
金额	n	6.24	6
损害	v	6.24	6
规范化	vi	6.24	6
公众	n	6.24	6
脱离	v	6.24	6
讲述	v	6.24	6
不如	v	6.24	6
航运	n	6.24	6
钻石	n	6.24	6
射程	n	6.24	6
运动	vn	6.22	4
大使	n	6.22	4
市民	n	6.22	4
收购	vn	6.22	4
健全	v	6.22	4
克服	v	6.22	4
经费	n	6.22	4
交换	v	6.22	4
活力	n	6.22	4
员工	n	6.22	4
议员	n	6.22	4
主导	n	6.22	4
未能	v	6.22	4
资助	v	6.22	4
遵守	v	6.22	4
遭受	v	6.22	4
保留	v	6.22	4
大众	n	6.22	4
塑造	v	6.22	4
大小	n	6.22	4
审核	vn	6.22	4
上去	vf	6.22	4
跨越	v	6.22	4
购物	vi	6.22	4
海水	n	6.22	4
留学生	n	6.22	4
一线	n	6.22	4
上课	vi	6.22	4
放下	v	6.22	4
自动化	vn	6.22	4
反馈	v	6.22	4
托管	vn	6.22	4
意图	n	6.22	4
订单	n	6.22	4
牌照	n	6.22	4
组装	v	6.22	4
柴油	n	6.22	4
灵感	n	6.22	4
复制	v	6.22	4
token	n	6.22	4
隔离	vi	6.22	4
文学史	n	6.22	4
构造	n	6.22	4
家门口	n	6.22	4
提示	v	6.22	4
语音	n	6.22	4
零件	n	6.22	4
侦察	vn	6.22	4
红利	n	6.22	4
威慑	vn	6.22	4
水兵	n	6.22	4
操作系统	nl	6.22	4
删除	v	6.22	4
无敌	vi	6.22	4
补给	vn	6.22	4
复用	vn	6.22	8
武器库	n	6.22	4
备份	n	6.22	4
阵风	n	6.22	4
SASS	n	6.22	4
独角兽	n	6.22	16
整备	v	6.22	4
input	n	6.21	18
应对	v	6.20	7
坚定	v	6.20	8
电力	n	6.19	8
前提	n	6.19	9
lJST_Exits	n	6.19	8
vsFileName	n	6.19	35
潜力	n	6.18	9
docExtrator	n	6.17	7
历史性	n	6.17	12
crypto	a	6.17	18
classifier	n	6.17	11
范时钰	nr	6.17	9
兴奋	v	6.17	5
奖金	n	6.17	8
答案	n	6.17	8
秘书长	n	6.16	7
院校	n	6.16	7
动态	n	6.16	7
水域	n	6.16	7
宠物	n	6.16	7
放在	v	6.16	9
查看	v	6.16	41
延伸	v	6.16	10
落实	v	6.13	5
外交	n	6.13	5
观众	n	6.13	5
胜利	vn	6.13	5
成效	n	6.13	5
办公室	n	6.13	5
为期	vi	6.13	5
与会	vn	6.13	5
听到	v	6.13	5
发动	v	6.13	5
担负	v	6.13	5
文献	n	6.13	5
经典	n	6.13	5
伤害	vn	6.13	5
设有	v	6.13	5
主力	n	6.13	5
攻克	v	6.13	5
装有	v	6.13	5
装载	v	6.13	5
层次	n	6.13	14
充满	v	6.13	6
捐赠	vn	6.13	6
急需	v	6.13	6
释放	v	6.13	6
迈进	vi	6.13	6
领略	v	6.13	6
部位	n	6.13	6
牵制	vn	6.13	6
java	nz	6.13	6
称霸	v	6.13	6
研修	vn	6.13	6
NFT	x	6.12	125
交易额	n	6.12	19
基金	n	6.11	9
冠军	n	6.11	8
出台	vi	6.11	9
深耕	v	6.11	8
大门	n	6.11	9
浪费	vn	6.10	7
遍布	v	6.10	7
快报	nthk	6.09	12
classifier_setsimthresh	n	6.09	5
自动	d	6.08	20
得知	v	6.08	5
云	n	6.08	42
编码	n	6.08	8
keyExtract_Exit	n	6.08	9
增进	v	6.07	10
顶级	n	6.07	9
特征	n	6.06	9
抵御	v	6.06	9
商	n	6.06	42
忽视	v	6.06	6
同样	d	6.06	29
途径	n	6.05	11
志愿者	n	6.04	7
立足	vi	6.04	7
杠杆	n	6.04	7
必备	vn	6.04	13
与日俱增	vl	6.03	11
国民	n	6.02	30
提取	v	6.02	11
cLUS_GetLastErrMsg	n	6.02	6
全球性	n	6.01	8
供需	n	6.01	8
bool	n	6.01	23
采访	v	6.00	10
积极性	n	5.99	6
骨干	n	5.99	6
通道	n	5.99	6
送给	v	5.99	6
人群	n	5.99	6
渗透	vn	5.99	6
主持人	n	5.99	6
传达	v	5.99	6
使用者	n	5.99	6
减速	vi	5.99	6
sContent	n	5.98	41
sFilename	n	5.98	16
同志	n	5.98	12
折叠	v	5.97	8
传输	vn	5.96	10
杀手	n	5.96	14
bluzelle	n	5.95	3
sLine	n	5.95	3
sTitle	n	5.95	3
sAuthor	n	5.95	3
sBoard	n	5.95	3
szSummary	n	5.95	15
userfilterword.txt	n	5.95	3
火灾	n	5.94	9
之前	f	5.94	35
required	vd	5.93	52
充分	ad	5.93	29
default	n	5.92	15
视频	n	5.92	10
uTF8	n	5.91	7
dE_ParseDoc	n	5.91	7
员	ng	5.90	44
dE_GetLastErrMsg	n	5.89	14
dS_GetLastErrMsg	n	5.89	14
据悉	v	5.88	11
简称	v	5.88	15
iCTCLAS.nlpir.org	n	5.88	38
人民日报海外版	nthk	5.87	5
成都巨鲸未来	n_new	5.86	10
一定	b	5.86	66
lACChain	n	5.86	3
苏联	ns	5.85	70
快速	b	5.85	41
system	n	5.85	35
患者	n	5.85	7
档案	n	5.85	7
百度	nz	5.85	7
笔者	n	5.84	9
fSim	n	5.84	4
cLUS_AddFile	n	5.84	4
lJWF_WordFreqOutput	n	5.84	4
高铁	n	5.84	4
掌控	n_new	5.84	4
博士	n	5.83	24
停泊	vn	5.83	16
rR_GetLastErrMsg	n	5.81	16
事物	n	5.80	21
情绪	n	5.80	16
NLPIR	n	5.80	15
通常	d	5.80	16
完整	a	5.78	19
舰载	b	5.77	202
魅力	n	5.76	8
发展快车道	n_new	5.76	2
语言巴士	n_new	5.76	2
特殊	a	5.75	14
终于	d	5.75	25
rR_Data.txt	n	5.74	19
检查	vn	5.74	10
拉	v	5.73	22
明白	v	5.73	17
强大	a	5.73	36
docExtractor	n	5.72	5
真实	a	5.72	19
连续	a	5.71	13
详细	ad	5.71	14
图片	n	5.70	16
不好	a	5.69	16
1.shtml	n	5.69	40
DS_SingleDocE	n	5.67	9
米格	n	5.67	19
需	v	5.67	29
关键词	n	5.67	12
_tDocExtractResult	n	5.66	5
严格	a	5.66	17
浪潮	n	5.65	12
